origin,destination,migrants
1114,1115,1189
1114,1117,639
1114,1120,19107
1114,1124,504
1114,1129,1050
1114,1134,369
1114,1138,12781
1114,1142,1642
1114,1146,23191
1114,1154,896
1114,1161,758
1114,1166,718
1114,1168,838
1114,1128,754
1114,1170,1467
1114,1178,620
1114,1145,23494
1114,1186,515
1114,1187,2577
1114,1111,1732
1114,111,134
1114,211,1598
1114,1119,394
1114,1127,1347
1114,1141,4160
1114,1147,3852
1114,1149,420
1114,1158,596
1114,1140,9264
1114,1179,447
1114,1185,116
1114,1135,2552
1114,1103,6987
1114,1112,398
1114,1118,1325
1114,1160,2585
1114,1167,1833
1114,1182,899
1114,1126,211
1114,1183,337
1114,1191,124
1114,1190,227
1114,1196,198
1114,1107,1718
1114,1180,644
1114,1188,193
1114,1189,171
1114,1192,654
1114,1194,228
1114,1197,252
1114,1157,667
1114,1133,458
1114,1122,1185
1114,1153,593
1114,1156,420
1114,1136,1174
1114,1163,1139
1114,1173,399
1114,1137,191
1114,1165,1294
1114,1171,8671
1114,171,3197
1114,271,4870
1114,371,604
1114,1175,1356
1114,1184,52
1114,1193,38
1114,1195,134
1114,1101,735
1114,1104,2946
1114,1125,1091
1114,1132,591
1114,1150,791
1114,1152,445
1114,1169,311
1114,1181,397
1114,1176,360
1114,1198,1641
1114,1130,1433
1114,1105,1002
1114,1108,1205
1114,1110,533
1114,1144,1170
1114,1164,1004
1114,1199,86
1114,1177,1087
1115,1114,1342
1115,1117,750
1115,1120,1640
1115,1124,540
1115,1129,5390
1115,1134,224
1115,1138,3749
1115,1142,546
1115,1146,32732
1115,1154,3848
1115,1161,856
1115,1166,5837
1115,1168,439
1115,1128,1526
1115,1170,1165
1115,1178,699
1115,1145,31351
1115,1186,230
1115,1187,640
1115,1111,801
1115,111,32
1115,211,769
1115,1119,274
1115,1127,1219
1115,1141,3640
1115,1147,2059
1115,1149,371
1115,1158,745
1115,1140,8636
1115,1179,138
1115,1185,77
1115,1135,937
1115,1103,3031
1115,1112,200
1115,1118,601
1115,1160,1195
1115,1167,663
1115,1182,449
1115,1126,68
1115,1183,80
1115,1191,50
1115,1190,88
1115,1196,152
1115,1107,660
1115,1180,318
1115,1188,104
1115,1189,140
1115,1192,353
1115,1194,315
1115,1197,232
1115,1157,338
1115,1133,363
1115,1122,731
1115,1153,279
1115,1156,330
1115,1136,520
1115,1163,934
1115,1173,267
1115,1137,115
1115,1165,945
1115,1171,2359
1115,171,868
1115,271,1171
1115,371,320
1115,1175,565
1115,1184,23
1115,1193,21
1115,1195,53
1115,1101,245
1115,1104,1080
1115,1125,290
1115,1132,234
1115,1150,224
1115,1152,206
1115,1169,84
1115,1181,107
1115,1176,144
1115,1198,207
1115,1130,393
1115,1105,526
1115,1108,445
1115,1110,224
1115,1144,114
1115,1164,281
1115,1199,27
1115,1177,124
1117,1114,640
1117,1115,713
1117,1120,1327
1117,1124,8299
1117,1129,1152
1117,1134,942
1117,1138,631
1117,1142,551
1117,1146,49982
1117,1154,324
1117,1161,2464
1117,1166,593
1117,1168,560
1117,1128,1120
1117,1170,1082
1117,1178,2379
1117,1145,44045
1117,1186,216
1117,1187,1167
1117,1111,1031
1117,111,87
1117,211,944
1117,1119,452
1117,1127,737
1117,1141,2061
1117,1147,1261
1117,1149,239
1117,1158,301
1117,1140,5284
1117,1179,171
1117,1185,155
1117,1135,945
1117,1103,3347
1117,1112,286
1117,1118,854
1117,1160,1336
1117,1167,592
1117,1182,797
1117,1126,43
1117,1183,159
1117,1191,109
1117,1190,110
1117,1196,182
1117,1107,940
1117,1180,769
1117,1188,327
1117,1189,514
1117,1192,940
1117,1194,364
1117,1197,545
1117,1157,627
1117,1133,743
1117,1122,13935
1117,1153,545
1117,1156,502
1117,1136,721
1117,1163,964
1117,1173,436
1117,1137,171
1117,1165,811
1117,1171,2378
1117,171,818
1117,271,1189
1117,371,371
1117,1175,529
1117,1184,23
1117,1193,34
1117,1195,47
1117,1101,402
1117,1104,826
1117,1125,401
1117,1132,287
1117,1150,354
1117,1152,314
1117,1169,152
1117,1181,157
1117,1176,189
1117,1198,263
1117,1130,289
1117,1105,490
1117,1108,359
1117,1110,220
1117,1144,221
1117,1164,293
1117,1199,17
1117,1177,214
1120,1114,14351
1120,1115,1413
1120,1117,1159
1120,1124,900
1120,1129,1815
1120,1134,425
1120,1138,4955
1120,1142,16294
1120,1146,34067
1120,1154,1741
1120,1161,1741
1120,1166,1857
1120,1168,6220
1120,1128,1726
1120,1170,2577
