origin;destination;migrants
1115;1114;2273
1117;1114;862
1120;1114;11394
1124;1114;846
1129;1114;721
1134;1114;814
1138;1114;26640
1142;1114;2105
1146;1114;3490
1154;1114;1541
1161;1114;737
1166;1114;939
1168;1114;1399
1128;1114;829
1170;1114;1987
1178;1114;567
1145;1114;1769
1186;1114;622
1187;1114;4257
111;1114;30
211;1114;3046
1119;1114;1061
1127;1114;870
1141;1114;1107
1147;1114;3254
1149;1114;471
1158;1114;400
1140;1114;761
1179;1114;158
1185;1114;225
1135;1114;2075
1103;1114;3728
1112;1114;721
1118;1114;1744
1160;1114;3173
1167;1114;217
1182;1114;2050
1126;1114;129
1183;1114;726
1191;1114;127
1190;1114;532
1196;1114;1653
1107;1114;1678
1180;1114;1489
1188;1114;377
1189;1114;477
1192;1114;1260
1194;1114;689
1197;1114;435
1157;1114;2684
1133;1114;1478
1122;1114;1400
1153;1114;1773
1156;1114;825
1136;1114;1387
1163;1114;1813
1173;1114;555
1137;1114;1526
1165;1114;4121
171;1114;698
271;1114;903
371;1114;1999
1175;1114;2790
1184;1114;471
1193;1114;142
1195;1114;163
1101;1114;2050
1104;1114;3335
1125;1114;3196
1132;1114;2577
1150;1114;1706
1152;1114;1343
1169;1114;769
1181;1114;800
1198;1114;2213
1176;1114;1821
1130;1114;1314
1105;1114;2237
1108;1114;2747
1110;1114;1879
1144;1114;2171
1164;1114;2241
1199;1114;266
1177;1114;273
1114;1115;748
1117;1115;607
1120;1115;991
1124;1115;556
1129;1115;4657
1134;1115;438
1138;1115;2337
1142;1115;481
1146;1115;3371
1154;1115;4798
1161;1115;551
1166;1115;3397
1168;1115;602
1128;1115;905
1170;1115;1042
1178;1115;408
1145;1115;2090
1186;1115;420
1187;1115;1344
111;1115;9
211;1115;1127
1119;1115;510
1127;1115;826
1141;1115;864
1147;1115;1606
1149;1115;276
1158;1115;382
1140;1115;709
1179;1115;59
1185;1115;66
1135;1115;1035
1103;1115;1431
1112;1115;290
1118;1115;795
1160;1115;1246
1167;1115;98
1182;1115;821
1126;1115;29
1183;1115;187
1191;1115;51
1190;1115;178
1196;1115;419
1107;1115;605
1180;1115;665
1188;1115;142
1189;1115;281
1192;1115;625
1194;1115;319
1197;1115;272
1157;1115;1181
1133;1115;728
1122;1115;758
1153;1115;578
1156;1115;425
