origin;destination;year;migrants
111;2004;2015;4
111;2021;2015;2
111;2026;2015;1
111;2102;2015;1
111;2127;2015;4
111;2189;2015;9
111;2203;2015;20
111;2250;2015;2
171;2001;2015;6
171;2003;2015;4
171;2004;2015;400
171;2008;2015;1
171;2014;2015;92
171;2021;2015;83
171;2026;2015;5
171;2028;2015;1
171;2037;2015;1
171;2051;2015;38
171;2059;2015;31
171;2065;2015;1
171;2069;2015;4
171;2074;2015;1
171;2078;2015;1
171;2081;2015;407
171;2083;2015;1
171;2084;2015;3
171;2088;2015;298
171;2090;2015;1
171;2099;2015;1
171;2107;2015;1
171;2127;2015;188
171;2137;2015;1
171;2138;2015;1
171;2142;2015;1
171;2178;2015;1
171;2182;2015;3
171;2189;2015;775
171;2190;2015;2
171;2193;2015;1
171;2199;2015;3
171;2200;2015;9
171;2202;2015;123
171;2203;2015;755
171;2219;2015;1
171;2230;2015;1
171;2250;2015;122
211;2001;2015;3
211;2002;2015;1
211;2004;2015;14
211;2009;2015;1
211;2014;2015;14
211;2021;2015;38
211;2026;2015;2
211;2030;2015;1
211;2039;2015;4
211;2046;2015;2
211;2051;2015;16
211;2058;2015;1
211;2059;2015;1
211;2065;2015;1
211;2069;2015;3
211;2070;2015;240
211;2071;2015;4
211;2077;2015;1
211;2081;2015;12
211;2084;2015;2
211;2088;2015;2
211;2091;2015;4
211;2102;2015;2
211;2127;2015;10
211;2135;2015;31
211;2137;2015;1
211;2142;2015;20
211;2150;2015;3
211;2157;2015;3
211;2159;2015;2
211;2161;2015;2
211;2176;2015;4
211;2178;2015;1
211;2181;2015;3
211;2182;2015;5
211;2184;2015;1
211;2185;2015;2
211;2185;2015;2
211;2189;2015;1
211;2190;2015;4
211;2199;2015;3
211;2200;2015;3
211;2201;2015;1
211;2202;2015;5
211;2203;2015;91
211;2209;2015;5
211;2219;2015;3
211;2221;2015;2
211;2222;2015;3
211;2230;2015;5
211;2250;2015;393
271;2001;2015;3
271;2004;2015;236
271;2006;2015;1
271;2010;2015;1
271;2014;2015;682
271;2021;2015;901
271;2022;2015;3
271;2026;2015;8
271;2037;2015;2
271;2040;2015;3
271;2051;2015;4
271;2059;2015;8
271;2073;2015;1
271;2078;2015;4
271;2081;2015;311
271;2088;2015;430
271;2102;2015;1
271;2116;2015;1
271;2127;2015;297
271;2176;2015;16
271;2181;2015;1
271;2182;2015;2
271;2189;2015;596
271;2199;2015;1
271;2200;2015;164
271;2202;2015;2306
271;2203;2015;4490
271;2215;2015;5
271;2250;2015;228
371;2001;2015;1
371;2002;2015;1
371;2004;2015;280
371;2013;2015;1
371;2014;2015;322
371;2020;2015;1
371;2021;2015;57
371;2022;2015;2
371;2026;2015;11
371;2028;2015;27
371;2031;2015;1
371;2032;2015;3
371;2040;2015;4
371;2041;2015;2
371;2045;2015;1
371;2051;2015;55
371;2058;2015;2
371;2059;2015;39
371;2061;2015;1
371;2065;2015;1
371;2069;2015;5
371;2071;2015;5
371;2073;2015;1
371;2074;2015;1
371;2075;2015;1
371;2077;2015;1
371;2081;2015;866
371;2084;2015;1
371;2088;2015;656
371;2090;2015;162
371;2095;2015;322
371;2099;2015;8
371;2102;2015;1
371;2124;2015;3
371;2127;2015;61
371;2140;2015;2
371;2142;2015;2
371;2150;2015;3
371;2160;2015;1
371;2170;2015;5
371;2176;2015;245
371;2178;2015;2
371;2181;2015;7
371;2182;2015;14
371;2189;2015;754
371;2190;2015;6
371;2191;2015;6
371;2199;2015;7
371;2200;2015;16
371;2202;2015;791
371;2203;2015;784
371;2211;2015;4
371;2215;2015;1
371;2218;2015;4
371;2219;2015;1
371;2232;2015;2
371;2233;2015;1
371;2235;2015;1
371;2250;2015;987
1101;2003;2015;2
1101;2004;2015;176
1101;2014;2015;367
1101;2016;2015;22
1101;2021;2015;33
1101;2030;2015;1
1101;2040;2015;1
1101;2041;2015;8
1101;2051;2015;299
1101;2058;2015;2
1101;2059;2015;14
1101;2061;2015;1
1101;2065;2015;4
1101;2069;2015;10
1101;2070;2015;2
1101;2071;2015;1
1101;2073;2015;1
1101;2075;2015;1
1101;2077;2015;2
1101;2078;2015;12
1101;2081;2015;1994
1101;2084;2015;5
1101;2088;2015;329
1101;2090;2015;121
1101;2102;2015;3
1101;2107;2015;4
1101;2127;2015;21
1101;2129;2015;22
1101;2135;2015;5
1101;2140;2015;1
1101;2160;2015;1
1101;2177;2015;1
1101;2178;2015;4
1101;2181;2015;3
1101;2182;2015;11
1101;2189;2015;1660
1101;2190;2015;3
1101;2199;2015;38
1101;2200;2015;7
1101;2202;2015;933
1101;2203;2015;185
1101;2211;2015;5
1101;2219;2015;2
1101;2221;2015;1
1101;2222;2015;1
1101;2250;2015;583
1103;2001;2015;360
1103;2002;2015;3
1103;2003;2015;8
1103;2004;2015;137
1103;2008;2015;1
1103;2011;2015;1
1103;2014;2015;1348
1103;2016;2015;68
1103;2021;2015;357
1103;2023;2015;3
1103;2026;2015;8
1103;2027;2015;1
1103;2028;2015;8
1103;2030;2015;1
1103;2037;2015;1
1103;2040;2015;2
1103;2041;2015;99
1103;2051;2015;176
1103;2058;2015;79
1103;2059;2015;264
1103;2065;2015;4
1103;2069;2015;13
