Код ТЕРСОН-МО;Наименование территории;Субъект РФ;Численность населения, в среднем за 2015-2022 гг.;Города федерального значения;Административные центры регионов;Прочие городские округа;Муниципальные округа;Муниципальные районы;Эксклавы;Северный Кавказ;Дальний Восток;Арктическая зона;Крайний Север;Приграничные территории;Коэффициент миграционной подвижности, ‰, 2015-2022 гг.;Коэффициент миграционного прироста, ‰, 2015-2022 гг.;Доля миграционного оборота внутри региона, %, 2015-2022 гг.;Доля миграционного оборота между регионами, %, 2015-2022 гг.;Доля миграционного оборота между странами, %, 2015-2022 гг.;Доля женщин среди мигрантов, %, 2015-2022 гг.;Средний возраст мигранта, лет, 2015-2022 гг.;Доля населения 65+ среди мигрантов, %, 2015-2022 гг.;Тип по приросту (убыли), 2015-2022 гг.;Крупнейшее направление миграции, webcensus.ru;Доля Москвы в потоках в Москву и СПб, %, webcensus.ru;Доля Москвы и СПб в исходящих потоках, %, webcensus.ru;Виртуальный миграционный прирост на 100 пользователей, webcensus.ru;Крупнейшее направление миграции, VK.com, 2022 г.;Доля Москвы в потоках в Москву и СПб, %, VK.com, 2022 г.;Расстояние до административного центра, км;Отношение зарплаты к медианной (без МСП), %, 2015-2022 гг.;Масштаб локальной экономики (без МСП), %, 2015-2022 гг.
1471000000;Алексеевский городской округ;Белгородская область;60555;0;0;1;0;0;0;0;0;0;0;0;38.2;-4.0;46.0;44.9;9.1;57.1;28.8;5.1;тип 4   - - +;столица своего региона;73.4;10.6;-5.4;столица другого региона;69.6;158;116;28.8
1461000000;Белгородский муниципальный район;Белгородская область;151645;0;0;0;0;1;0;0;0;0;0;1;79.6;12.5;48.9;28.4;22.7;52.8;36.5;9.3;тип 1   + + +;столица своего региона;77.5;2.5;-60.1;столица своего региона;71.9;24;109;8.1
1461500000;Борисовский муниципальный район;Белгородская область;24436;0;0;0;0;1;0;0;0;0;0;1;61.2;-1.2;34.0;27.8;38.2;53.2;39.8;13.1;тип 4   - - +;столица своего региона;76.9;4.1;-22.6;столица своего региона;72.7;45;108;4.8
1472000000;Валуйский городской округ;Белгородская область;65733;0;0;1;0;0;0;0;0;0;0;1;68.4;1.8;40.4;41.6;18.0;50.2;32.6;7.6;тип 4   - - +;столица своего региона;79.7;14.7;-6.0;столица своего региона;62.6;106;96;11.8
1462500000;Вейделевский муниципальный район;Белгородская область;20310;0;0;0;0;1;0;0;0;0;0;1;61.4;-6.4;51.7;34.6;13.7;53.3;31.5;6.3;тип 4   - - +;столица своего региона;70.7;11.5;-12.0;столица своего региона;52.6;150;97;0.8
1463000000;Волоконовский муниципальный район;Белгородская область;30160;0;0;0;0;1;0;0;0;0;0;1;58.0;-0.5;48.1;30.4;21.5;53.9;33.8;8.2;тип 4   - - +;столица своего региона;83.0;9.8;-10.7;столица своего региона;69.0;81;101;3.4
1472500000;Грайворонский городской округ;Белгородская область;28107;0;0;1;0;0;0;0;0;0;0;1;113.1;10.2;52.3;28.6;19.1;50.2;34.5;8.9;тип 1   + + +;столица своего региона;74.0;10.5;-9.1;столица своего региона;61.1;64;96;1.9
1463800000;Ивнянский муниципальный район;Белгородская область;21780;0;0;0;0;1;0;0;0;0;0;0;51.7;-8.3;41.4;36.9;21.7;52.6;34.1;7.5;тип 4   - - +;столица своего региона;84.2;5.9;-29.0;столица своего региона;76.9;47;105;5.6
1464000000;Корочанский муниципальный район;Белгородская область;36806;0;0;0;0;1;0;0;0;0;0;0;73.4;0.6;50.4;33.1;16.6;52.8;35.7;9.2;тип 4   - - +;столица своего региона;76.6;7.2;-11.8;столица своего региона;71.1;52;114;19.9
1464100000;Красненский муниципальный район;Белгородская область;11730;0;0;0;0;1;0;0;0;0;0;0;65.4;0.0;48.1;47.0;4.8;54.3;32.0;8.1;тип 4   - - +;столица своего региона;80.8;7.7;-20.8;столица другого региона;66.7;144;96;0.8
1464200000;Красногвардейский муниципальный район;Белгородская область;34813;0;0;0;0;1;0;0;0;0;0;0;64.6;4.3;53.6;29.3;17.1;53.0;32.8;7.9;тип 4   - - +;столица своего региона;78.0;9.0;-9.4;столица своего региона;68.3;123;106;5.8
1464300000;Краснояружский муниципальный район;Белгородская область;14246;0;0;0;0;1;0;0;0;0;0;1;69.0;-1.9;46.9;27.6;25.5;50.6;34.2;8.8;тип 4   - - +;столица своего региона;81.0;5.7;-18.6;столица своего региона;80.0;75;104;2.6
1473500000;Новооскольский городской округ;Белгородская область;40632;0;0;1;0;0;0;0;0;0;0;0;69.2;1.4;44.3;32.6;23.1;54.3;34.2;8.4;тип 4   - - +;столица своего региона;78.1;13.4;-6.2;столица своего региона;77.8;76;108;8.9
1464600000;Прохоровский муниципальный район;Белгородская область;27255;0;0;0;0;1;0;0;0;0;0;0;60.3;5.2;46.7;38.3;15.0;52.0;33.2;7.4;тип 4   - - +;столица своего региона;78.9;9.3;-4.0;столица своего региона;61.1;50;109;12.2
1464800000;Ракитянский муниципальный район;Белгородская область;33908;0;0;0;0;1;0;0;0;0;0;0;80.5;2.6;52.3;24.6;23.1;53.3;33.3;8.1;тип 2   - + +;столица своего региона;74.0;5.1;-20.8;столица своего региона;53.3;61;121;13.5
