oktmo;name;short_name;population;share;region;capital;status;lat;lon
1601000;Алейский муниципальный район;Алейский район;14961;9;Алтайский край;1701000;rural;52.5545;82.3953
1602000;Алтайский муниципальный район;Алтайский район;26171;15;Алтайский край;1701000;rural;51.7108;85.1695
1603000;Баевский муниципальный район;Баевский район;9698;10;Алтайский край;1701000;rural;53.3228;80.5121
1604000;Бийский муниципальный район;Бийский район;32764;6;Алтайский край;1701000;rural;52.5936;85.6207
1605000;Благовещенский муниципальный район;Благовещенский район;29128;13;Алтайский край;1701000;rural;52.8689;79.9106
1606000;Бурлинский муниципальный район;Бурлинский район;10783;12;Алтайский край;1701000;rural;53.322;78.1929
1607000;Быстроистокский муниципальный район;Быстроистокский район;9378;11;Алтайский край;1701000;rural;52.4246;84.3823
1608000;Волчихинский муниципальный район;Волчихинский район;18042;16;Алтайский край;1701000;rural;52.0437;80.2636
1609000;Егорьевский муниципальный район;Егорьевский район;13497;5;Алтайский край;1701000;rural;51.8397;81.009
1610000;Ельцовский муниципальный район;Ельцовский район;6101;12;Алтайский край;1701000;rural;53.2004;86.4052
1611000;Завьяловский муниципальный район;Завьяловский район;18354;10;Алтайский край;1701000;rural;52.9155;81.1843
1612000;Залесовский муниципальный район;Залесовский район;14274;9;Алтайский край;1701000;rural;54.1655;84.8506
1613000;Заринский муниципальный район;Заринский район;18554;4;Алтайский край;1701000;rural;54.0092;85.4546
1614000;Змеиногорский муниципальный район;Змеиногорский район;19876;30;Алтайский край;1701000;rural;51.1971;82.2441
1615000;Калманский муниципальный район;Калманский район;13635;7;Алтайский край;1701000;rural;53.0244;83.4414
1616000;Каменский муниципальный район;Каменский район;10730;11;Алтайский край;1701000;rural;53.5849;81.1722
1617000;Ключевский муниципальный район;Ключевский район;17214;9;Алтайский край;1701000;rural;52.3343;79.4854
1618000;Косихинский муниципальный район;Косихинский район;16430;8;Алтайский край;1701000;rural;53.2921;84.5402
1619000;Красногорский муниципальный район;Красногорский район;15578;8;Алтайский край;1701000;rural;52.3428;86.345
1620000;Краснощёковский муниципальный район;Краснощёковский район;17518;6;Алтайский край;1701000;rural;51.6366;82.8464
1621000;Крутихинский муниципальный район;Крутихинский район;10640;11;Алтайский край;1701000;rural;54.037;80.9173
1622000;Кулундинский муниципальный район;Кулундинский район;22255;23;Алтайский край;1701000;rural;52.5609;78.997
1623000;Курьинский муниципальный район;Курьинский район;9910;8;Алтайский край;1701000;rural;51.5745;82.1706
1624000;Кытмановский муниципальный район;Кытмановский район;12727;9;Алтайский край;1701000;rural;53.4362;85.3801
