code;title;soviet_title;fed_district;short_title;soviet_short_title;short_title_en;code_en;popul1989;popul2002;popul2010;popul2021;chord;lat;lon
1114;Белгородская область;Белгородская область;Центральный ФО;Белгородская;Белгородская;Belgorod;BEL;1380723;1511620;1532526;1540486;3;50.7621877783607;37.193829089602
1115;Брянская область;Брянская область;Центральный ФО;Брянская;Брянская;Bryansk;BRY;1474785;1378941;1278217;1169161;3;53.0423236533438;33.7116820476463
1117;Владимирская область;Владимирская область;Центральный ФО;Владимирская;Владимирская;Vladimir;VLA;1653938;1523990;1443693;1348134;3;56.0783645341879;40.597536777796
1120;Воронежская область;Воронежская область;Центральный ФО;Воронежская;Воронежская;Voronezh;VOR;2469766;2378803;2335380;2308792;3;51.3126382679578;39.6988444187745
1124;Ивановская область ;Ивановская область;Центральный ФО;Ивановская;Ивановская;Ivanovo;IVA;1317117;1148329;1061651;927828;3;57.0427105332056;41.3042542056293
1129;Калужская область;Калужская область;Центральный ФО;Калужская;Калужская;Kaluga;KLG;1066833;1041641;1010930;1069904;3;54.5956944618341;36.0202698071802
1134;Костромская область ;Костромская область;Центральный ФО;Костромская;Костромская;Kostroma;KOS;809882;736641;667562;580976;3;57.9896868162512;42.0254153114526
1138;Курская область;Курская область;Центральный ФО;Курская;Курская;Kursk;KUR;1339414;1235091;1127081;1082458;3;51.7403624830079;36.018843061447
1142;Липецкая область;Липецкая область;Центральный ФО;Липецкая;Липецкая;Lipetzk;LIP;1230220;1213499;1173513;1143224;3;52.6001476908269;39.3578624201723
1146;Московская область;Московская область;Центральный ФО;Московская;Московская;Moscow obl.;MOB;6693623;6618538;7095120;8524665;2;55.6953943988314;37.8199943445135
1154;Орловская область;Орловская область;Центральный ФО;Орловская;Орловская;Oryol;ORL;890636;860262;786935;713374;3;52.8626984607512;36.3684329739293
1161;Рязанская область;Рязанская область;Центральный ФО;Рязанская;Рязанская;Ryazan;RYZ;1345924;1227910;1154114;1102810;3;54.4527050583773;40.1012762666902
1166;Смоленская область;Смоленская область;Центральный ФО;Смоленская;Смоленская;Smolensk;SMO;1158299;1049574;985537;888421;3;54.8707032347607;33.2121305656159
1168;Тамбовская область;Тамбовская область;Центральный ФО;Тамбовская;Тамбовская;Tambov;TAM;1320763;1178443;1091994;982991;3;52.7227039886725;41.4544006239113
1128;Тверская область;Калининская область;Центральный ФО;Тверская;Калининская;Tver;TVE;1670117;1471459;1353392;1230171;3;56.9985244412179;35.4215607777134
1170;Тульская область;Тульская область;Центральный ФО;Тульская;Тульская;Tula;TUL;1867013;1675758;1553925;1501214;3;54.0410402891502;37.7327388659753
1178;Ярославская область;Ярославская область;Центральный ФО;Ярославская;Ярославская;Yaroslavl;YAR;1470357;1367398;1272468;1209811;3;57.6755163678359;39.5143622204226
1145;г. Москва;г. Москва;Центральный ФО;Москва;Москва;Moscow;MOS;8967232;10382754;11503501;13010112;1;55.7538888888889;37.6202777777778
1186;Республика Карелия;Карельская АССР;Северо-Западный ФО;Карелия;Карельская;Karelia;KAR;791317;716281;643548;533121;6;62.3813995208276;33.6803892320521
1187;Республика Коми;Коми АССР;Северо-Западный ФО;Коми;Коми;Komi;KOM;1261024;1018674;901189;737853;6;63.2930605376377;53.5763602911591
111;Ненецкий автономный округ;Ненецкий автономный округ;Северо-Западный ФО;НАО;НАО;Nenets;NAO;54840;41546;42090;41434;6;67.634957238246;52.8406297411347
211;Архангельская область (без АО);Архангельская область (без АО);Северо-Западный ФО;Архангельская;Архангельская;Arkhangelsk;ARH;1515416;1294993;1185536;978873;6;63.4604594791491;41.7539344353821
1119;Вологодская область;Вологодская область;Северо-Западный ФО;Вологодская;Вологодская;Vologda;VLG;1353870;1269568;1202444;1142827;6;59.4333780577947;39.604441943764
1127;Калининградская область;Калининградская область;Северо-Западный ФО;Калининградская;Калининградская;Kaliningrad;KLN;871283;955281;941873;1029966;6;54.7224121584309;20.7844503844235
1141;Ленинградская область;Ленинградская область;Северо-Западный ФО;Ленинградская;Ленинградская;Leningrad;LEN;1661173;1669205;1716868;2000997;5;59.869076463947;30.569937875805
1147;Мурманская область;Мурманская область;Северо-Западный ФО;Мурманская;Мурманская;Murmansk;MUR;1146757;892534;795409;667744;6;68.5209816955168;32.9452531785686
1149;Новгородская область;Новгородская область;Северо-Западный ФО;Новгородская;Новгородская;Novgorod;NOV;753054;694355;634111;583387;6;58.413074917278;32.0573627100114
1158;Псковская область;Псковская область;Северо-Западный ФО;Псковская;Псковская;Pskov;PSK;846449;760810;673423;599084;6;57.2614707920845;29.0621642506957
1140;г. Санкт-Петербург;г. Ленинград;Северо-Западный ФО;СПб;Ленинград;Saint Petersburg;SPB;5023506;4661219;4879566;5601911;4;59.9391666666667;30.3158333333333
1179;Республика Адыгея;Адыгейская автономная область;Южный ФО;Адыгея;Адыгейская;Adygea;ADY;432588;447109;439996;496934;8;44.790890268387;39.85731665645
1185;Республика Калмыкия;Калмыцкая АССР;Южный ФО;Калмыкия;Калмыцкая;Kalmykia;KLM;322589;292410;289481;267133;8;46.3993864583957;44.5236209771442
1135;Республика Крым;;Южный ФО;Крым;;Crimea;;;;;1934630;8;45.1426015817125;34.3409876393285
1103;Краснодарский край;Краснодарский край (без АО);Южный ФО;Краснодарский;Краснодарский;Krasnodar;KRD;4680560;5125221;5226647;5838273;7;45.0472327107425;39.2021607340174
1112;Астраханская область;Астраханская область;Южный ФО;Астраханская;Астраханская;Astrakhan;AST;998114;1005276;1010073;960142;8;46.5981154530942;47.7749032859127
1118;Волгоградская область;Волгоградская область;Южный ФО;Волгоградская;Волгоградская;Volgograd;VLD;2593944;2699223;2610161;2500781;8;49.175351986088;44.3483279078228
1160;Ростовская область;Ростовская область;Южный ФО;Ростовская;Ростовская;Rostov;ROS;4308654;4404013;4277976;4200729;8;47.4782829567771;40.2394403276341
1167;г. Севастополь;;Южный ФО;Севастополь;;Sevastopol;;;;;547820;8;44.6101536701456;33.5432033614312
1182;Республика Дагестан;Дагестанская АССР;Северо-Кавказский ФО;Дагестан;Дагестанская;Dagestan;DAG;1802579;2576531;2910249;3182054;9;42.7598084756434;47.3035907842774
1126;Республика Ингушетия;;Северо-Кавказский ФО;Ингушетия;;Ingushetia;ING;;467294;412529;509541;9;43.2881317502731;44.8292350014271
1183;Кабардино-Балкарская Республика;Кабардино-Балкарская АССР;Северо-Кавказский ФО;КБР;Кабардино-Балкарская;Kabardino-Balkaria;KAB;759586;901494;859939;904200;9;43.574033851995;43.6533920069566
1191;Карачаево-Черкесская Республика;Карачаево-Черкесская автономная область;Северо-Кавказский ФО;КЧР;Карачаево-Черкесская;Karachay-Cherkessia;KAC;417560;439470;477859;469865;9;44.0525095103324;41.9414093003651
1190;Республика Северная Осетия - Алания;Северо-Осетинская АССР;Северо-Кавказский ФО;Северная Осетия;Северо-Осетинская;North Ossetia;SOA;634009;710275;712980;687357;9;43.1542410227527;44.565273241684
1196;Чеченская Республика;Чечено-Ингушская АССР;Северо-Кавказский ФО;Чеченская;Чечено-Ингушская;Chechen;CHC;1275513;1103686;1268989;1510824;9;43.2717783391487;45.7848336144781
1107;Ставропольский край;Ставропольский край без КЧАО;Северо-Кавказский ФО;Ставропольский;Ставропольский;Stavropol;STA;2439628;2735139;2786281;2907593;9;44.6588986025858;42.8209657608198
1180;Республика Башкортостан;Башкирская АССР;Приволжский ФО;Башкортостан;Башкирская;Bashkortostan;BAS;3950482;4104336;4072292;4091423;10;54.4240187913098;55.9146807313771
1188;Республика Марий Эл;Марийская АССР;Приволжский ФО;Марий Эл;Марийская;Mari El;MAE;749386;727979;696459;677097;10;56.5287398038064;48.0854982026098
1189;Республика Мордовия;Мордовская АССР;Приволжский ФО;Мордовия;Мордовская ;Mordovia;MOR;964132;888766;834755;783552;10;54.2547182933927;44.850625626199
1192;Республика Татарстан;Татарская АССР;Приволжский ФО;Татарстан;Татарская;Tatarstan;TAT;3637809;3779265;3786488;4004809;10;55.5519906320992;50.6337805347665
1194;Удмуртская Республика;Удмуртская АССР;Приволжский ФО;Удмуртская;Удмуртская;Udmurtia;UDM;1609003;1570316;1521420;1452914;10;56.963866593914;53.1401618176354
1197;Чувашская Республика;Чувашская АССР;Приволжский ФО;Чувашская;Чувашская;Chuvashia;CHU;1336066;1313754;1251619;1186909;10;55.8513676772027;47.234784466909
1157;Пермский край;Пермская область;Приволжский ФО;Пермский;Пермская;Perm;PER;3099994;2819421;2635276;2532405;10;58.0816937406405;56.1490667396257
1133;Кировская область;Кировская область;Приволжский ФО;Кировская;Кировская;Kirov;KIR;1692655;1503529;1341312;1153680;10;58.3480090178478;49.7785005799404
1122;Нижегородская область;Горьковская область;Приволжский ФО;Нижегородская;Горьковская;Nizhny Novgorod;NIG;3714322;3524028;3310597;3119115;10;56.1409851743389;43.9576141294469
1153;Оренбургская область;Оренбургская область;Приволжский ФО;Оренбургская;Оренбургская;Orenburg;ORE;2174459;2179551;2033072;1862767;10;51.8958249610398;55.5461353844316
