code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
1;Башкирская АССР;Башкирская;РСФСР;Уральский;Уральский;РСФСР;3943113;20647;3485439;3922466;г. Уфа;54.733333;55.966667
2;Бурятская АССР;Бурятская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;1038252;7669;763742;1030583;г. Улан-Удэ;51.833333;107.616667
3;Дагестанская АССР;Дагестанская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;1802188;1865;1680267;1800323;г. Махачкала;42.983333;47.5
4;Кабардино-Балкарская АССР;Кабардино-Балкарская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;753531;2241;571550;751290;г. Нальчик;43.485259;43.607072
5;Калмыцкая АССР;Калмыцкая;РСФСР;Поволжский;Поволжский;РСФСР;322579;834;197772;321745;г. Элиста;46.316667;44.266667
6;Карельская АССР;Карельская;РСФСР;Северный;Северный;РСФСР;790150;4520;503249;785630;г. Петрозаводск;61.796111;34.349167
7;Коми АССР;Коми;РСФСР;Северный;Северный;РСФСР;1250847;3736;679929;1247111;г. Сыктывкар;61.666667;50.816667
8;Марийская АССР;Марийская;РСФСР;Волго-Вятский;Волго-Вятский;РСФСР;749332;1825;592320;747507;г. Йошкар-Ола;56.632778;47.895833
9;Мордовская АССР;Мордовская;РСФСР;Волго-Вятский;Волго-Вятский;РСФСР;963504;2353;851379;961151;г. Саранск;54.183333;45.183333
10;Северо-Осетинская АССР;Северо-Осетинская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;632428;1899;463456;630529;г. Орджоникидзе (ныне г. Владикавказ);43.01667;44.683315
11;Татарская АССР;Татарская;РСФСР;Поволжский;Поволжский;РСФСР;3641742;10651;3013082;3631091;г. Казань;55.790833;49.114444
12;Тувинская АССР;Тувинская;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;308557;584;251770;307973;г. Кызыл;51.7;94.366667
13;Удмуртская АССР;Удмуртская;РСФСР;Уральский;Уральский;РСФСР;1605663;7188;1315836;1598475;г. Ижевск;56.853056;53.212222
14;Чечено-Ингушская АССР;Чечено-Ингушская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;1270429;6182;972576;1264247;г. Грозный;43.316667;45.7
15;Чувашская АССР;Чувашская;РСФСР;Волго-Вятский;Волго-Вятский;РСФСР;1338023;4779;1154238;1333244;г. Чебоксары;56.116667;47.233333
16;Якутская АССР;Якутская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;1094065;3864;618985;1090201;г. Якутск;62.027222;129.731944
17;Алтайский край (без АО);Алтайский;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;2631261;7106;2086478;2624155;г. Барнаул;53.347361;83.778333
18;Горно-Алтайская АО;Горно-Алтайская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;190831;311;130100;190520;г. Горно-Алтайск;51.96;85.96
19;Краснодарский край (без АО);Краснодарский;РСФСР;Северо-Кавказский;Краснодарский край;РСФСР;4620876;27998;2956659;4592878;г. Краснодар;45.033333;38.983333
20;Адыгейская АО;Адыгейская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;432046;1774;222451;430272;г. Майкоп;44.611;40.111
21;Таймырский (Долгано-Ненецкий) АО;Таймырский;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;55803;278;12207;55525;г. Дудинка;69.4;86.183333
22;Эвенкийский АО;Эвенкийский;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;24769;136;5199;24633;рп Тура;64.283333;100.216667
23;Красноярский край (без АО);Красноярский;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;2958021;28365;1951271;2929656;г. Красноярск;56.012083;92.871295
24;Хакасская АО;Хакасская;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;566861;5222;217406;561639;г. Абакан;53.716667;91.416667
25;Приморский край;Приморский;РСФСР;Дальневосточный;Дальневосточный;РСФСР;2256072;20426;1269763;2235646;г. Владивосток;43.116667;131.9
26;Ставропольский край (без АО);Ставропольский;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;2410379;9179;1628774;2401200;г. Ставрополь;45.033333;41.966667
27;Карачаево-Черкесская АО;Карачаево-Черкесская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;414970;430;289609;414540;г. Черкесск;44.213888;42.04431
28;Хабаровский край (без АО);Хабаровский;РСФСР;Дальневосточный;Дальневосточный;РСФСР;1597743;18516;804131;1579227;г. Хабаровск;48.483333;135.066667
29;Еврейская АО;Еврейская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;214085;2185;68709;211900;г. Биробиджан;48.783333;132.933333
30;Амурская область;Амурская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;1050245;10931;601964;1039314;г. Благовещенск;50.257778;127.536389
31;Ненецкий АО;Ненецкий;РСФСР;Северный;Северный;РСФСР;53912;72;25386;53840;г. Нарьян-Мар;67.637778;53.006667
32;Архангельская область (без АО);Архангельская;РСФСР;Северный;Северный;РСФСР;1515767;3068;1099641;1512699;г. Архангельск;64.55;40.533333
